Respondent,Prod1,Prod2,Prod3,Prod4,Prod5,Prod6,Prod7,Prod8,Prod9,Prod10,Prod11,att_Prod1,att_Prod2,att_Prod3,att_Prod4,att_Prod5,att_Prod6,att_Prod7,att_Prod8,att_Prod9,att_Prod10,att_Prod11
10033,0.501286735,0.951746238,0.533666428,-2.338229501,3.296688628,-2.176668271,3.338803939,-3.229229484,4.092792073,-4.500521518,-0.470335266,-0.151252111,-0.156927226,-0.076606252,0,0,0,0,0,0,0,0
10034,1.499526165,3.898542884,1.452925002,-3.468303767,-0.167792669,-3.231802427,2.265308339,-3.307789398,4.773464068,-2.447452345,-1.266625854,-0.229062848,-0.235315378,-0.185342184,0,0,0,0,0,0,0,0
10035,5.128337967,4.070335102,1.928687622,-2.188392274,-0.432734973,-5.129552119,0.278291487,-3.53243297,1.501464779,-2.370139307,0.746134685,0.088833173,-0.407667277,-0.898906765,0,0,0,0,0,0,0,0
10036,1.023124333,-1.798385397,-0.364113293,5.251497115,1.978551405,-3.374508923,1.203721152,-2.181360628,5.928500031,-10.72175376,3.054727962,-0.199963153,-0.482378678,-0.260751234,0,0,0,0,0,0,0,0
10037,5.525601989,5.410308181,0.608195632,-1.799669106,-0.636322392,-5.517417566,0.438910939,-3.639495647,1.626948657,-2.873490088,0.856429401,-0.07267497,-0.011476104,-0.514268309,0,0,0,0,0,0,0,0
10038,1.256142185,-1.844344479,-0.065515074,-1.394585769,-0.94785719,-2.715676542,0.855424636,2.971731579,3.462209615,-5.669850403,4.09232144,-0.466106944,-0.84184419,-0.649604286,0,0,0,0,0,0,0,0
10039,2.338690799,0.00854407,0.715355787,-3.446566389,-1.730876803,-2.37190173,5.88017933,-2.450603198,2.777671606,-1.890122762,0.169629289,-0.612840301,-0.835253773,-0.659389251,0,0,0,0,0,0,0,0
10040,1.577298711,-1.896061201,-0.021298474,6.133398411,6.259407037,-4.553539546,-0.823927387,-2.738173258,2.282748784,-12.65978893,6.439935849,-0.067310487,-0.452795608,-0.222090784,0,0,0,0,0,0,0,0
10043,0.428950694,-1.376297371,0.820939403,-2.225887563,0.577572647,-1.842716401,2.662178019,-2.184661424,7.338050001,-5.10505388,0.906925874,-0.287796794,-0.436880328,-0.196407598,0,0,0,0,0,0,0,0
10048,3.733162465,-0.207725161,-0.128323061,1.588683679,2.234833645,-3.92227037,2.008075787,-3.049144209,2.923134806,-6.595900475,1.415472893,0.079746872,-0.236388896,-0.270793587,0,0,0,0,0,0,0,0
10049,2.529145677,-1.330899031,0.039428473,-2.958508019,-2.301701443,-3.612849096,3.55243184,-1.638707746,2.24296152,-0.441434131,3.920131955,-0.723964672,-0.446493523,-0.345288459,0,0,0,0,0,0,0,0
10051,0.315650109,-0.925130291,2.622285407,-2.991742728,0.595607064,-2.336641208,2.029012567,-2.505079224,6.210073463,-3.216061489,0.20202633,-0.289457832,-0.313455205,-0.44467856,0,0,0,0,0,0,0,0
10053,0.657597423,-2.637135094,-0.133126411,-1.304515679,-0.532377204,-2.800144397,4.66417842,-1.469208833,4.774207909,-5.926911704,4.707435569,-0.267184413,-0.576793992,-0.29558949,0,0,0,0,0,0,0,0
10054,2.76941626,-0.201563466,0.402388015,-2.059815028,-0.245314409,-3.088536226,1.96021049,-2.353235152,6.190148235,-4.531756108,1.158057389,-1.22036707,-0.342417945,-0.368391403,0,0,0,0,0,0,0,0
10057,3.829492177,-0.127925869,0.369648797,0.922827056,0.461698441,-5.678869316,0.306182827,-1.942019319,2.025169667,-7.449050266,7.282845806,-0.616950488,-0.98443646,-0.660186246,0,0,0,0,0,0,0,0
10058,0.44557646,-1.834122611,2.869219973,-1.069544703,3.677058706,-3.11434535,0.304985521,-2.783020954,3.660111597,-5.789513438,3.633594798,-0.068736927,-0.444995325,-0.084717341,0,0,0,0,0,0,0,0
10062,2.608739554,0.289669973,1.045481932,-2.283999619,-0.219340257,-3.178044377,1.800580065,-2.585938973,5.739063202,-4.038421087,0.822209588,-0.741173008,-0.667888209,-0.605937884,0,0,0,0,0,0,0,0
10085,0.490405758,-1.244878565,1.321862226,0.825005958,8.313447324,-2.680890112,-0.220222105,-3.538022458,2.734855763,-8.397649721,2.396085931,-0.035513862,-0.312573836,0.008124171,0,0,0,0,0,0,0,0
10086,0.23582434,-1.068408715,3.75531955,-3.58034661,0.524786259,-2.072479984,1.729651197,-2.500397356,5.534714517,-2.324650119,-0.234013081,-0.131988198,-0.337552622,-0.037524998,0,0,0,0,0,0,0,0
10098,3.947530997,0.39686115,0.894977954,0.095001068,5.779187671,-4.168750404,-0.400100054,-3.845432702,1.765570077,-6.507774336,2.04292858,0.022035308,-0.300399298,-0.267325058,0,0,0,0,0,0,0,0
10099,2.66213306,-2.389566423,-0.128811305,2.647386405,1.613514565,-5.31290085,0.348450032,-1.604153416,2.698763728,-10.56721434,10.03239854,-0.133379865,-0.710975846,-0.305461836,0,0,0,0,0,0,0,0
10100,3.036575812,-1.581194522,-0.104925714,2.118554124,1.346893334,-5.349224069,0.378319536,-1.8711643,2.390913637,-9.593596765,9.228848927,-0.141294503,-0.647530985,-0.418056321,0,0,0,0,0,0,0,0
10101,1.321360221,-0.861880752,0.801534467,-3.383693297,-0.918064185,-1.941722886,4.989607779,-2.339223556,5.070553267,-2.852934256,0.114463198,-0.361449581,-0.518994415,-0.516298762,0,0,0,0,0,0,0,0
10124,0.108916116,-1.442056582,1.690422645,-3.852843631,-0.511035952,-1.448724141,5.079481799,-2.142168633,5.162840763,-2.315331153,-0.329501231,-0.26400124,-0.430368688,-0.109304866,0,0,0,0,0,0,0,0
10128,-0.973622996,-2.696593762,-0.153957626,-3.784968051,-1.193760431,3.053170154,3.373918076,2.860459857,3.459327829,-3.437154799,-0.506818252,-0.252397205,-0.454601022,-0.123783366,0,0,0,0,0,0,0,0
10130,2.993765806,0.509887604,0.722365511,0.279998812,3.472328596,-4.82657092,0.146179024,-2.888633576,1.562717086,-7.091595826,5.119557882,-0.044919765,-0.911893713,-0.439384808,0,0,0,0,0,0,0,0
10139,1.348185278,-1.64450256,3.622698807,-0.689953384,1.265651521,-4.223428417,0.273859391,-2.438203883,1.958564753,-5.437195723,5.964324218,-0.085991191,-0.51147956,-0.099699847,0,0,0,0,0,0,0,0
10145,2.266484115,0.348202535,2.760826075,-6.30468357,-1.77407264,-2.758532709,1.61251247,-2.806280545,1.605216995,6.635692753,-1.585365479,-0.153487193,-0.42669572,-0.190624265,0,0,0,0,0,0,0,0
10150,1.698957433,-0.148838993,0.44316287,2.104746777,0.227511518,-3.907893315,2.468878214,-2.30114361,2.918432644,-6.843621001,3.339807464,-0.065548321,-0.334036709,-0.193817294,0,0,0,0,0,0,0,0
10151,-0.10422691,-1.486260153,3.063082902,-4.232998348,-0.230699444,-1.432999542,4.522801998,-2.306022546,4.601691522,-1.785118054,-0.609251426,-0.219768101,-0.348762532,-0.008002733,0,0,0,0,0,0,0,0
10152,1.233321052,-1.981422823,-0.318234416,-1.256096149,-1.311820786,-2.612411669,0.635169145,4.520210724,1.596748286,-5.373961857,4.868498493,-0.378472118,-0.897679594,-0.684637926,0,0,0,0,0,0,0,0
10153,0.466042513,-1.32948426,0.811115378,-2.407959919,0.407019703,-1.862084258,2.798368691,-2.080609041,7.438927684,-5.088987898,0.847651407,-0.330558599,-0.343776313,-0.238351372,0,0,0,0,0,0,0,0
10154,0.817926866,-2.682797689,-0.29120957,-1.032573759,-0.331419659,-2.79861117,4.343042976,-1.312955304,4.594618589,-6.625739462,5.319718182,-0.246700938,-0.623011412,-0.256857153,0,0,0,0,0,0,0,0
10155,1.958430675,-1.828431202,1.35341201,0.834164092,1.228860026,-4.741311258,0.507115555,-1.669237718,2.397185566,-7.721990295,7.681802549,-0.127344543,-0.531304898,-0.252948753,0,0,0,0,0,0,0,0
10157,4.467219976,-0.21949022,0.001731417,1.003290383,0.435847262,-5.547865236,0.201147256,-2.262805873,1.995705182,-7.441086162,7.366306016,-0.038275793,-0.561541991,-0.475959306,0,0,0,0,0,0,0,0
10162,2.456140795,-1.035506931,0.1182049,-1.381677606,-1.184618695,-3.814745881,4.40380928,-1.851521254,2.142348961,-4.599688755,4.747255186,-0.551644046,-0.85014791,-0.493949451,0,0,0,0,0,0,0,0
10165,0.414495149,-1.269939104,2.001325748,-2.916704563,0.434775982,-2.03175968,2.337585429,-2.333788071,6.60027427,-3.57909157,0.342826409,-0.205660476,-0.425370037,-0.095457815,0,0,0,0,0,0,0,0
10175,3.893034483,2.509540088,4.026537006,-2.907634057,-0.005561905,-4.709563064,0.292922163,-3.425762355,1.486887441,-1.487240989,0.326841191,-0.106279674,-1.306156801,-1.841570893,0,0,0,0,0,0,0,0
10176,3.046781055,-1.199264664,1.007338341,0.553920335,0.806312066,-5.020368941,0.393724842,-1.969167415,2.158699814,-7.022025119,7.244049685,0.011526618,-0.567668237,-0.774781059,0,0,0,0,0,0,0,0
10178,2.605838427,-2.136402747,-0.273420364,2.61053224,1.593644298,-5.394207437,0.268911974,-1.392821048,2.68310276,-10.51585111,9.950673008,-0.212280876,-0.775113282,-0.353473116,0,0,0,0,0,0,0,0
10179,3.315303372,-0.247924881,0.210391726,-3.179565788,-1.816701366,-2.724683243,5.808630542,-2.475229033,2.582903021,-2.277438953,0.804314603,-0.079936269,-0.485503662,-0.387997665,0,0,0,0,0,0,0,0
10182,4.623813243,-0.171442904,-0.29976426,3.936340367,1.105751808,-5.796773903,-0.122185536,-2.455875059,2.052193459,-9.499768577,6.627711362,-0.074708722,-0.62833088,-0.568949691,0,0,0,0,0,0,0,0
10195,1.8623567,-1.316481072,0.45767312,3.287085763,6.385165564,-4.521689442,-0.779449784,-2.968931376,2.089637054,-10.63857893,6.143212401,-0.010246697,-0.509577159,-0.285743937,0,0,0,0,0,0,0,0
10196,4.157923176,-0.650437283,0.016840972,1.20039613,0.478501369,-5.510304701,0.50507012,-2.096689704,2.013089066,-7.894623397,7.780234251,-0.085596237,-0.593942085,-0.436436613,0,0,0,0,0,0,0,0
10197,2.569325375,-2.04707384,-0.143343622,2.530832475,1.737849191,-5.346231971,0.299654368,-1.607459494,2.589300513,-10.52309283,9.940239834,-0.240547592,-0.65864526,-0.429792827,0,0,0,0,0,0,0,0
10199,0.575757839,0.722022777,2.009744693,-4.134972065,-0.577361795,-1.976229056,4.270440737,-2.610242054,4.400742055,-1.817289575,-0.862613556,-0.183987912,-0.466728835,-0.102519241,0,0,0,0,0,0,0,0
10200,2.673589209,-2.019046198,-0.267792761,3.008310552,1.977793719,-5.621958085,0.172513604,-1.854717393,2.604830543,-10.78923098,10.11570779,-0.154498031,-0.684286859,-0.349184384,0,0,0,0,0,0,0,0
10203,2.491537487,-2.007667533,-0.275475643,2.493043353,1.719601573,-5.340312206,0.400574794,-1.519734955,2.652307843,-10.43308606,9.819211346,-0.157830082,-0.626822898,-0.40488824,0,0,0,0,0,0,0,0
10204,0.783251724,-2.579188196,0.602971553,-1.286344713,-0.378537706,-2.904950131,3.949311406,-1.611714043,4.223157848,-5.718239218,4.920281476,-0.175940067,-0.557319247,-0.189768172,0,0,0,0,0,0,0,0
10205,1.931908833,-1.322550158,0.226165479,-0.356088074,0.580073757,-4.069560443,1.276180736,-1.849174207,5.063286072,-7.187309569,5.707067573,-0.360867529,-0.760236925,-0.546163786,0,0,0,0,0,0,0,0
10206,0.058116548,-1.463872129,1.536313578,-3.888612506,-0.526394007,-1.418699376,5.248903215,-2.075283699,5.28411632,-2.46203158,-0.292556364,-0.23968937,-0.414129896,-0.103465558,0,0,0,0,0,0,0,0
10209,2.758053182,-0.804318391,2.414563312,-0.949432943,0.192095516,-4.371305332,0.576433115,-2.61576379,3.130815006,-4.903116777,4.571977101,-0.092051241,-0.486170965,-0.096582743,0,0,0,0,0,0,0,0
10211,0.237455838,-1.688801114,0.858213124,-3.514691862,-0.797199794,-1.40756118,5.622217726,-1.922934912,5.651981356,-2.909075224,-0.12960396,-0.278871115,-0.488402472,-0.245143622,0,0,0,0,0,0,0,0
10212,0.567865635,0.101309693,3.207771877,-7.761504694,-1.867928586,-1.620343466,2.540943527,-2.777183198,2.409763495,8.45462859,-3.255322873,-0.242772921,-0.323299097,-0.142211475,0,0,0,0,0,0,0,0
10214,4.547267288,-0.140003788,0.042278514,1.116277432,0.49186158,-5.750099444,0.303652531,-2.287956519,1.95381835,-7.687960834,7.41086489,-0.065241528,-0.553109724,-0.47141438,0,0,0,0,0,0,0,0
10215,0.623753892,-2.346449085,0.120523877,-1.266787119,-0.696756296,-2.614562572,4.427018754,-1.599527288,4.563587141,-5.721501623,4.510700318,-0.080940635,-0.496550177,-0.241878465,0,0,0,0,0,0,0,0
10216,0.803452489,0.398347385,2.604126348,-8.495413155,-2.666653995,-1.571441685,2.856336877,-2.671536339,2.465342238,9.851243849,-3.573804012,-0.336125531,-0.299458799,-0.122069941,0,0,0,0,0,0,0,0
10218,2.534472526,-2.036148241,-0.649540602,6.177429127,2.817767243,-5.467136901,-0.129052532,-1.695286207,2.424581394,-12.93168827,8.954602461,-0.085389459,-0.6369189,-0.379352844,0,0,0,0,0,0,0,0
10219,1.265233977,-2.239990113,0.051950663,0.187326437,0.641868318,-3.780482722,1.543756054,-1.415824355,5.517014309,-8.231307042,6.460454474,-0.29647102,-0.516906575,-0.4153984,0,0,0,0,0,0,0,0
10220,0.129005148,-1.061821105,4.676180701,-2.099846724,5.435059639,-2.554475048,0.126329362,-3.597094799,1.995008191,-3.306552583,0.258207219,-0.026647074,-0.305353573,-0.007485492,0,0,0,0,0,0,0,0
10222,0.973439213,-2.429335102,0.046497856,0.141209867,0.700138522,-3.369876208,1.856378432,-1.517073166,5.798545886,-8.100118948,5.900193648,-0.17936024,-0.557837511,-0.356117824,0,0,0,0,0,0,0,0
10223,2.527105594,-2.237683306,-0.095837606,2.605805743,1.637768236,-5.306969856,0.359850301,-1.44035392,2.600703619,-10.69435408,10.04396528,-0.180383443,-0.716907785,-0.474930849,0,0,0,0,0,0,0,0
10224,0.518764302,-0.095515763,4.607990566,-6.997103002,-1.154036168,-2.236499401,1.960207487,-2.889186328,2.125626966,6.762655005,-2.602903663,-0.134542603,-0.344986394,-0.039356394,0,0,0,0,0,0,0,0
10227,-1.348335875,-2.898867197,0.237078147,-4.798133253,-0.895772199,5.548241093,5.685019815,-0.825522743,3.133832369,-1.929509269,-1.908030887,-0.163683004,-0.408975428,-0.017792556,0,0,0,0,0,0,0,0
10228,2.120364812,-1.453873037,0.124374244,4.835239505,5.831963219,-4.794725309,-0.690000098,-2.807410858,2.044410624,-11.60242003,6.392076929,-0.276851482,-0.509659685,-0.168203502,0,0,0,0,0,0,0,0
10229,0.98341905,-1.508092138,0.847572126,-3.414784053,-1.00873353,-1.585259273,5.19826416,-2.005585444,5.280774736,-2.979295485,0.191719851,-0.395162187,-0.409667044,-0.489955381,0,0,0,0,0,0,0,0
10230,2.60303152,-1.997344833,-0.280008355,2.714348716,1.69491939,-5.265556752,0.378609877,-1.805454282,2.563521375,-10.50441022,9.898343564,-0.183691568,-0.626726361,-0.321463871,0,0,0,0,0,0,0,0
10231,0.011370325,-2.323821915,0.7464614,-1.05098576,3.437985323,-2.215525129,3.357975333,-2.447793572,3.697373491,-6.614355684,3.401316187,-0.027343678,-0.352732697,0.044604127,0,0,0,0,0,0,0,0
10234,2.863915043,-0.063788849,0.90189471,-0.466736187,-0.024829071,-4.642627244,0.842361016,-2.036751298,3.656709228,-6.114929571,5.084782223,0.030832227,-0.713659989,-0.648061988,0,0,0,0,0,0,0,0
10235,0.08328976,-1.620848149,1.033598477,-0.754913123,5.753729597,-1.928807636,1.226781631,-3.265639117,5.729770688,-7.268531351,1.011569222,-0.218809709,-0.346310463,-0.003854786,0,0,0,0,0,0,0,0
10257,3.105002561,-1.645670135,-0.117533715,2.053559272,1.414641604,-5.44054812,0.419378497,-1.641775487,2.416056411,-9.453544908,8.890434021,-0.509715566,-0.68537957,-0.371116906,0,0,0,0,0,0,0,0
10258,-0.364968619,-1.644154136,2.402282784,-2.705820367,3.531020553,-1.547890626,3.516742393,-3.100213122,3.747706644,-3.477578901,-0.357126603,-0.143522734,-0.19536614,0.074820915,0,0,0,0,0,0,0,0
10259,1.245037956,-1.947434897,0.660121966,2.22364666,6.848265496,-4.329490253,-0.6674129,-2.896587193,2.27534572,-10.34267978,6.931187225,-0.026046594,-0.398789196,-0.107256781,0,0,0,0,0,0,0,0
10260,0.35267053,-1.00933171,3.545547253,-1.233892345,6.385178146,-2.89914768,-0.053581167,-3.775352565,2.234425151,-4.444238667,0.897723055,-0.042819476,-0.389995717,-0.012821159,0,0,0,0,0,0,0,0
10261,0.86669958,-2.011687192,0.398406366,-0.859056915,0.421231971,-2.752957603,2.172311392,-1.825778816,6.63516831,-6.98423416,3.939897066,-0.251611903,-0.423867764,-0.202143843,0,0,0,0,0,0,0,0
10269,0.495806799,-2.129146855,0.462390587,0.662673617,4.870115592,-3.171438984,0.692239431,-2.649753706,4.824712001,-8.965119548,4.907521064,-0.145922545,-0.440469505,-0.162186037,0,0,0,0,0,0,0,0
10273,2.696160113,-2.076226931,-0.206563093,2.794862337,1.770261981,-5.440980395,0.129309033,-1.68898766,2.679449052,-10.61567147,9.958387035,-0.165582133,-0.734147442,-0.370366213,0,0,0,0,0,0,0,0
10277,0.357254333,-1.364431296,1.896522617,0.30553009,7.820973485,-2.630380564,-0.108017777,-3.494825732,2.705045433,-7.464948059,1.97727747,-0.064198711,-0.240207977,-0.034013249,0,0,0,0,0,0,0,0
10278,0.603630315,0.346357168,2.625214923,-8.356892693,-2.643346835,-1.275379283,2.781037992,-2.553104865,2.503032159,9.733265155,-3.763814036,-0.2046301,-0.331575854,-0.16508993,0,0,0,0,0,0,0,0
10279,3.065544467,-1.637766232,-0.230688179,2.121037149,1.280462827,-5.253328971,0.321989212,-1.693633349,2.398042023,-9.535913511,9.164254565,-0.467804046,-0.657195686,-0.365989786,0,0,0,0,0,0,0,0
10280,0.30384682,-2.375172726,0.484760664,0.278662774,4.595033752,-2.874014667,1.38616172,-2.503011241,4.523552877,-8.510658743,4.690838772,-0.067345107,-0.386852919,-0.182445367,0,0,0,0,0,0,0,0
10281,3.180550594,-0.048639673,0.499423864,-2.007416811,-0.225939616,-3.273088694,1.957648288,-2.566764286,5.964285739,-4.665171648,1.185112241,-0.185452899,-0.423717906,-0.337839732,0,0,0,0,0,0,0,0
10282,0.25788144,-1.037662959,3.810101655,-1.372571225,6.320917444,-2.787807582,0.073912632,-3.64582996,2.239432343,-4.524077432,0.665703645,-0.013030222,-0.243586242,-0.009176024,0,0,0,0,0,0,0,0
10284,2.731532354,-1.688784971,-0.219753974,2.363593151,1.360007939,-5.40879873,0.329881628,-1.653858192,2.565161973,-9.788305229,9.40932405,-0.229920927,-0.715280065,-0.41364077,0,0,0,0,0,0,0,0
10285,1.948383008,-1.740143282,0.312813335,4.331714473,4.848052276,-4.878974713,-0.379888511,-2.465125998,2.246158143,-11.19207602,6.969087293,-0.109607447,-0.559932686,-0.192137906,0,0,0,0,0,0,0,0
10287,2.870908287,-1.717993784,-0.216335167,2.385895558,1.586124849,-5.585630239,0.411767977,-1.67001784,2.481592091,-10.1153467,9.569034965,-0.134190922,-0.596523964,-0.438590439,0,0,0,0,0,0,0,0
10292,4.357849623,-0.331553118,0.212815958,0.930699623,0.425732368,-5.398096313,0.28205658,-2.11728463,1.891405076,-7.563784904,7.310159737,-0.08281137,-0.514757068,-0.432935915,0,0,0,0,0,0,0,0
